scenario_id,mood,energy_level,time_available,time_of_day,occasion,relationship_stage,bonding_level,intimacy_level,couple_only,consent_required,scene_label,recommended_activity_id,recommended_activity,recommended_category,recommendation_probability,expected_engagement
1,low_energy,very_low,5,evening,anniversary,new,2,light,false,false,gentle_connection,21,Compliment Challenge,romantic_activity,0.08624,0.719
2,low_energy,very_high,5,late_night,normal_day,just_met,1,light,false,false,gentle_connection,1,Rapid Fire,question_game,0.16364,0.635
3,nostalgic,very_high,5,afternoon,rough_day,long_term,4,moderate,true,false,memory_connection,22,Little Moments,memory,0.14983,0.773
4,celebratory,medium,60,morning,special_memory,new,4,light,false,false,celebration,11,Relationship Timeline,memory,0.09,0.663
5,romantic,low,60,evening,first_date,just_met,4,moderate,true,false,romantic_connection,16,Watch Together,watch_together,0.30151,0.66
6,calm,very_high,15,morning,rough_day,serious,5,light,false,false,calm_connection,23,Cozy Conversation,conversation,0.08245,0.785
7,relaxed,very_low,30,evening,holiday,long_term,3,light,false,false,easy_connection,15,Music Mood,watch_together,0.08422,0.715
8,sensual,very_low,5,afternoon,special_memory,dating,1,high,true,true,sensual_connection,23,Cozy Conversation,conversation,0.10526,0.727
9,playful,high,15,late_night,celebration,dating,2,light,false,false,playful_social,6,Scribble,creative_game,0.07576,0.8
10,affectionate,medium,45,morning,late_night,new,5,moderate,true,false,warm_connection,22,Little Moments,memory,0.06359,0.695
11,romantic,high,20,evening,just_because,long_term,2,moderate,true,false,romantic_connection,18,Truth or Dare,romantic_activity,0.06613,0.799
12,erotic,very_low,10,morning,special_memory,dating,4,very_high,true,true,intimate_connection,20,Romantic Q&A,intimate_activity,0.08696,0.763
13,affectionate,very_high,45,evening,anniversary,serious,4,moderate,true,false,warm_connection,20,Romantic Q&A,intimate_activity,0.08543,0.693
14,low_energy,high,10,evening,date_night,new,5,light,false,false,gentle_connection,14,Date Planner,date_activity,0.05368,0.755
15,sensual,very_high,20,late_night,valentines,new,2,high,true,true,sensual_connection,25,Playful Teasing Cards,intimate_activity,0.10635,0.774
16,playful,very_low,60,morning,date_night,new,4,light,false,false,playful_social,2,This or That,question_game,0.06738,0.61
17,relaxed,high,30,late_night,weekend,dating,5,light,false,false,easy_connection,15,Music Mood,watch_together,0.06816,0.69
18,happy,very_low,45,evening,special_memory,dating,1,light,false,false,positive_social,11,Relationship Timeline,memory,0.12791,0.627
19,romantic,high,5,evening,weekend,new,5,moderate,true,false,romantic_connection,1,Rapid Fire,question_game,0.05469,0.66
20,low_energy,medium,60,afternoon,date_night,dating,2,light,false,false,gentle_connection,23,Cozy Conversation,conversation,0.07542,0.659
21,erotic,very_high,5,evening,reunion,just_met,1,very_high,true,true,intimate_connection,1,Rapid Fire,question_game,0.0793,0.635
22,erotic,medium,10,morning,anniversary,long_term,1,very_high,true,true,intimate_connection,20,Romantic Q&A,intimate_activity,0.0962,0.787
23,energetic,very_low,60,afternoon,date_night,serious,5,light,false,false,high_energy_fun,16,Watch Together,watch_together,0.10227,0.635
24,nostalgic,very_high,20,afternoon,just_because,long_term,2,moderate,true,false,memory_connection,24,Date Night Roulette,date_activity,0.05809,0.694
25,relaxed,medium,20,late_night,first_date,new,2,light,false,false,easy_connection,8,Two Truths and a Lie,question_game,0.07015,0.72
